,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
4463,32.0,łódź,bałuty,1,0,0,0,1,2 ,1,brak,blok ,2000.0
4464,39.0,łódź,śródmieście,0,1,0,0,1,2 ,1,brak,blok ,2260.0
4466,33.28,łódź,śródmieście,0,1,0,1,1,-1,2,brak,apartamentowiec ,2875.0
4469,37.0,łódź,bałuty,0,1,0,0,1,3 ,2,brak,blok ,2240.0
4471,38.0,łódź,śródmieście,1,0,0,1,1,parter ,2,ulica,blok ,3000.0
4472,23.0,łódź,widzew,1,0,0,0,1,2 ,1,brak,blok ,1690.0
4475,16.0,łódź,widzew,0,1,0,0,1,1 ,1,brak,kamienica ,1457.0
4478,45.0,łódź,bałuty,0,1,1,1,1,1 ,2,garaż,apartamentowiec ,2700.0
4479,27.0,łódź,polesie,1,0,0,1,1,1 ,1,brak,apartamentowiec ,1980.0
4480,52.0,łódź,górna,1,0,0,0,1,2 ,3,brak,pozostałe ,2281.0
4483,37.0,łódź,polesie,1,0,0,1,1,10 ,2,ulica,blok ,2800.0
4484,40.0,łódź,śródmieście,1,0,0,0,1,3 ,2,ulica,blok ,2510.0
4485,32.0,łódź,bałuty,0,1,1,0,1,parter ,1,ulica,blok ,2095.0
4486,53.12,łódź,śródmieście,0,1,1,1,1,4 ,3,garaż,apartamentowiec ,3498.0
4488,30.0,łódź,śródmieście,1,0,0,0,1,4 ,1,brak,apartamentowiec ,2300.0
4490,33.0,łódź,śródmieście,1,0,0,0,1,parter ,1,brak,kamienica ,1200.0
4495,50.0,łódź,polesie,1,0,0,1,1,3 ,2,garaż,apartamentowiec ,3150.0
4496,18.4,łódź,śródmieście,1,0,1,1,1,3 ,1,garaż,apartamentowiec ,1720.0
4497,30.0,łódź,bałuty,1,0,0,0,1,4 ,1,brak,blok ,1800.0
4498,16.0,łódź,górna,0,1,0,0,1,1 ,1,brak,apartamentowiec ,1965.0
4500,27.0,łódź,bałuty,1,0,0,0,1,2 ,1,ulica,blok ,2000.0
4501,45.0,łódź,górna,1,0,0,0,1,2 ,2,brak,blok ,2750.0
4503,48.0,łódź,górna,1,0,0,0,1,2 ,2,ulica,blok ,2480.0
4504,58.0,łódź,polesie,0,1,0,1,1,3 ,3,garaż,apartamentowiec ,3500.0
4505,34.32,łódź,śródmieście,0,1,1,1,1,1 ,1,garaż,kamienica ,2420.0
4508,35.0,łódź,śródmieście,1,0,1,0,1,1 ,1,brak,kamienica ,2000.0
4509,43.0,łódź,śródmieście,1,0,0,1,1,powyżej 10 ,2,brak,blok ,2530.0
4510,37.6,łódź,śródmieście,0,1,1,1,1,1 ,2,garaż,blok ,2310.0
4511,40.0,łódź,bałuty,1,0,1,1,1,2 ,2,brak,apartamentowiec ,2700.0
4515,77.0,łódź,śródmieście,0,1,0,1,1,4 ,2,strzeżony,kamienica ,2995.0
4518,44.0,łódź,śródmieście,0,1,0,1,1,5 ,2,garaż,apartamentowiec ,3200.0
4520,45.0,łódź,polesie,1,0,0,0,1,parter ,2,strzeżony,apartamentowiec ,3300.0
4521,78.0,łódź,górna,1,0,0,0,1,1 ,3,ulica,apartamentowiec ,3650.0
4522,38.0,łódź,śródmieście,1,0,0,1,1,5 ,2,garaż,apartamentowiec ,2725.0
4523,37.0,łódź,polesie,1,0,0,0,1,8 ,2,brak,blok ,3180.0
4524,20.0,łódź,śródmieście,0,1,1,0,1,1 ,1,brak,apartamentowiec ,1700.0
4525,27.0,łódź,bałuty,1,0,1,0,0,3 ,1,ulica,blok ,1330.0
4527,15.0,łódź,polesie,0,1,0,0,1,-1,1,brak,kamienica ,1280.0
4528,45.0,łódź,śródmieście,1,0,0,1,1,1 ,2,garaż,apartamentowiec ,3550.0
4531,35.0,łódź,śródmieście,1,0,0,0,1,3 ,2,brak,kamienica ,2800.0
4533,65.0,łódź,polesie,0,1,0,1,1,7 ,3,garaż,apartamentowiec ,4130.0
4534,52.0,łódź,śródmieście,1,0,0,0,1,1 ,3,brak,apartamentowiec ,3290.0
4535,23.0,łódź,śródmieście,0,1,0,0,1,-1,1,brak,kamienica ,2050.0
4536,27.0,łódź,górna,1,0,0,0,1,6 ,1,brak,blok ,1630.0
4539,12.0,łódź,górna,1,0,0,0,1,parter ,1,brak,kamienica ,1340.0
4542,28.0,łódź,górna,0,1,0,0,1,parter ,1,brak,blok ,1750.0
4544,22.0,łódź,górna,1,0,0,0,1,1 ,1,brak,kamienica ,1201.0
4547,29.0,łódź,śródmieście,1,0,0,1,1,3 ,1,brak,apartamentowiec ,2100.0
4548,18.0,łódź,górna,1,0,0,0,1,1 ,1,strzeżony,kamienica ,1550.0
4549,27.0,łódź,śródmieście,1,0,0,0,1,3 ,1,ulica,blok ,1770.0
4550,25.0,łódź,górna,1,0,0,0,1,parter ,1,strzeżony,kamienica ,1950.0
4551,52.0,łódź,śródmieście,1,0,0,0,1,1 ,3,brak,apartamentowiec ,3290.0
4552,45.0,łódź,śródmieście,1,0,0,1,1,2 ,2,strzeżony,apartamentowiec ,3300.0
